Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Longitude,Lattitude,Region,Sub-Region,Territory,Info,Name en,Name fr,Name es,Name he,Name ar,Date estab,Hectare,CMS ID,Area A,Area B,Area C
Bruchin,bruchin,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d909ff7d6b96958263,false,false,Mon Jul 14 2025 22:34:01 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.08942,32.08159,salfit,,West Bank,,,Bruchin,Bruhin,ברוכין,بروخين,1999,8,687585d909ff7d6b96958263,false,false,true
Carmei Tzur,carmei-tzur,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dd4f775a0ff8eb6c29,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.10062,31.609,hebron,,West Bank,,,Carmei Tzur,Carmei Tzur,כרמי צור,كرمي تسور,1984,14,687585dd4f775a0ff8eb6c29,false,false,true
Carmel,carmel,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d878171d338b0ab459,false,false,Mon Jul 14 2025 22:34:00 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.18509,31.43235,hebron,,West Bank,,,Carmel,Carmel,כרמל,كرمل,1981,20,687585d878171d338b0ab459,false,false,true
Derech HaAvot,derech-haavot,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d5a591f947ef7c51c4,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.13608,31.66626,bethlehem,,West Bank,,,Derech HaAvot,Dereh HaAvot,דרך האבות,ديرِخ هأفوت,2001,9,687585d5a591f947ef7c51c4,false,false,true
Dolev,dolev,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585de6c4de33c4868287f,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.13375,31.92646,ramallah,,West Bank,,,Dolev,Dolev,דולב,دوليف,1983,30,687585de6c4de33c4868287f,false,false,true
Dugit,dugit,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d04b1a2abdb76f0679,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.48953,31.57385,north-gaza,,Gaza,,,Dugit,Dugit,דוגית,دوجيت,1990,8,687585d04b1a2abdb76f0679,false,false,false
Efrat,efrat,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d97ef91ffcae04cb62,false,false,Mon Jul 14 2025 22:34:01 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.15567,31.66114,bethlehem,,West Bank,,,Efrat,Efrat,אפרת,إفرات,1980,109,687585d97ef91ffcae04cb62,false,false,true
Einav,einav,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dc2c54671bda3c5f7e,false,false,Mon Jul 14 2025 22:34:04 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.12649,32.28496,tulkarm,,West Bank,,,Einav,Einav,ענב,عيناف,1981,21,687585dc2c54671bda3c5f7e,false,false,true
Elazar,elazar,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dc27a70245fb8b7bef,false,false,Mon Jul 14 2025 22:34:04 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.14263,31.66026,bethlehem,,West Bank,,,Elazar,Elazar,אלעזר,إلعزار,1975,24,687585dc27a70245fb8b7bef,false,false,false
Ele Sinay,ele-sinay,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d06b3523723690ecd1,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.50315,31.58382,north-gaza,,Gaza,,,Ele Sinay,Elei Sinai,אלי סיני,إيلي سيناي,1982,18,687585d06b3523723690ecd1,false,false,false
